scope,layer,mean,std,low_entropy_frac,method,model
layer,11,0.27630776,,1.0,bfloat16,google_gemma-3-4b-it
layer,12,0.09347818,,1.0,bfloat16,google_gemma-3-4b-it
layer,13,0.117061846,,1.0,bfloat16,google_gemma-3-4b-it
layer,14,0.1379258,,1.0,bfloat16,google_gemma-3-4b-it
layer,15,0.26404828,,1.0,bfloat16,google_gemma-3-4b-it
layer,16,0.18996933,,1.0,bfloat16,google_gemma-3-4b-it
layer,17,0.65921664,,1.0,bfloat16,google_gemma-3-4b-it
layer,18,0.19305393,,1.0,bfloat16,google_gemma-3-4b-it
layer,19,0.26130074,,1.0,bfloat16,google_gemma-3-4b-it
layer,20,0.26842588,,1.0,bfloat16,google_gemma-3-4b-it
layer,21,0.2948932,,1.0,bfloat16,google_gemma-3-4b-it
layer,22,0.3566659,,1.0,bfloat16,google_gemma-3-4b-it
layer,23,1.4340192,,0.0,bfloat16,google_gemma-3-4b-it
layer,24,0.19120294,,1.0,bfloat16,google_gemma-3-4b-it
layer,25,0.218308,,1.0,bfloat16,google_gemma-3-4b-it
