layer,kl_mean,kl_std,method,model
29,19.575352,0.650312,int8,google_gemma-3-12b-it
30,19.541245,0.64634293,int8,google_gemma-3-12b-it
31,19.533216,0.5923201,int8,google_gemma-3-12b-it
32,19.512987,0.5857467,int8,google_gemma-3-12b-it
33,19.514484,0.5941485,int8,google_gemma-3-12b-it
34,19.508287,0.5906671,int8,google_gemma-3-12b-it
35,19.521954,0.59804153,int8,google_gemma-3-12b-it
36,19.513306,0.5957459,int8,google_gemma-3-12b-it
37,19.517038,0.59435475,int8,google_gemma-3-12b-it
38,19.51557,0.5933843,int8,google_gemma-3-12b-it
39,19.517569,0.60261434,int8,google_gemma-3-12b-it
40,19.533129,0.60928667,int8,google_gemma-3-12b-it
41,19.57533,0.60441,int8,google_gemma-3-12b-it
42,19.593962,0.6113424,int8,google_gemma-3-12b-it
43,19.59094,0.6979489,int8,google_gemma-3-12b-it
44,19.62238,0.7583901,int8,google_gemma-3-12b-it
45,19.618988,0.85351485,int8,google_gemma-3-12b-it
46,19.65048,0.9305841,int8,google_gemma-3-12b-it
47,19.661366,1.2356184,int8,google_gemma-3-12b-it
0,19.373436,2.6731055,gptq,google_gemma-3-12b-it
1,18.931541,3.3382308,gptq,google_gemma-3-12b-it
2,18.815662,3.3926246,gptq,google_gemma-3-12b-it
3,19.01864,2.9975593,gptq,google_gemma-3-12b-it
4,19.340248,2.5953248,gptq,google_gemma-3-12b-it
5,19.223188,2.6082103,gptq,google_gemma-3-12b-it
6,19.40909,2.1721935,gptq,google_gemma-3-12b-it
7,19.18029,2.5059319,gptq,google_gemma-3-12b-it
8,19.196636,2.4530072,gptq,google_gemma-3-12b-it
9,18.83448,2.9116101,gptq,google_gemma-3-12b-it
10,18.666245,3.257046,gptq,google_gemma-3-12b-it
11,18.668951,3.2175572,gptq,google_gemma-3-12b-it
12,18.560524,3.262759,gptq,google_gemma-3-12b-it
13,18.4224,3.3765187,gptq,google_gemma-3-12b-it
14,18.363026,3.5688784,gptq,google_gemma-3-12b-it
15,18.586266,3.2789123,gptq,google_gemma-3-12b-it
16,18.35753,3.5077465,gptq,google_gemma-3-12b-it
17,18.335457,3.4039907,gptq,google_gemma-3-12b-it
18,18.305492,3.299167,gptq,google_gemma-3-12b-it
19,17.826729,3.5674965,gptq,google_gemma-3-12b-it
20,17.821976,3.5081089,gptq,google_gemma-3-12b-it
21,17.422695,3.8161578,gptq,google_gemma-3-12b-it
22,17.677877,3.5145962,gptq,google_gemma-3-12b-it
23,16.543215,4.477195,gptq,google_gemma-3-12b-it
24,16.078182,4.347383,gptq,google_gemma-3-12b-it
25,16.035751,4.320498,gptq,google_gemma-3-12b-it
26,15.256928,4.382149,gptq,google_gemma-3-12b-it
